bank_txn_id,transaction_id,utr_number,merchant_id,acquirer_bank,settlement_date,value_date,bank_settled_amount,charges_deducted,gst_deducted,currency_code,settlement_status,batch_id,neft_ifsc,mismatch_reason,narration
BNKTXN4356708,TXN0000002,UTR637940265423,MERCH0049,HDFC Bank,17-07-2024,18-07-2024,105245.04,2172.1,390.98,INR,SETTLED,BATCH202407153,HDFC3929,,Settlement for TXN0000002
BNKTXN3235470,TXN0000003,UTR618495931034,MERCH0006,Axis Bank,24-08-2024,25-08-2024,68182.6,758.16,136.47,INR,SETTLED,BATCH202408222,HDFC2418,,Settlement for TXN0000003
BNKTXN7426807,TXN0000004,UTR928327648350,MERCH0015,Axis Bank,18-05-2024,19-05-2024,137780.05,2721.31,489.84,INR,SETTLED,BATCH202405173,HDFC9696,,Settlement for TXN0000004
BNKTXN2507202,TXN0000006,UTR101226916697,MERCH0034,PNB,16-08-2024,17-08-2024,147064.23,2566.53,461.98,INR,SETTLED,BATCH202408141,HDFC9016,,Settlement for TXN0000006
BNKTXN4635493,TXN0000007,UTR482814893252,MERCH0035,Kotak,26-10-2024,27-10-2024,64182.23,1060.82,190.95,INR,SETTLED,BATCH202410251,HDFC7127,,Settlement for TXN0000007
BNKTXN4566682,TXN0000010,UTR133150983930,MERCH0005,SBI,04-06-2024,05-06-2024,64606.99,1136.12,204.5,INR,SETTLED,BATCH202406033,HDFC3494,,Settlement for TXN0000010
BNKTXN4003137,TXN0000011,UTR997376311656,MERCH0027,Yes Bank,20-07-2024,21-07-2024,31817.12,357.69,64.38,INR,SETTLED,BATCH202407184,HDFC6551,,Settlement for TXN0000011
BNKTXN9870385,TXN0000012,UTR624731781080,MERCH0006,Axis Bank,08-11-2024,09-11-2024,28109.6,462.23,83.2,INR,SETTLED,BATCH202411062,HDFC2438,,Settlement for TXN0000012
BNKTXN7754888,TXN0000013,UTR746872343098,MERCH0004,HDFC Bank,24-01-2024,25-01-2024,57197.79,1395.95,251.27,INR,SETTLED,BATCH202401232,HDFC1698,,Settlement for TXN0000013
BNKTXN1127838,TXN0000014,UTR361939909169,MERCH0037,ICICI Bank,18-07-2024,19-07-2024,87507.55,1767.96,318.23,INR,SETTLED,BATCH202407162,HDFC7966,,Settlement for TXN0000014
BNKTXN9964234,TXN0000015,UTR107991183842,MERCH0023,ICICI Bank,03-06-2024,04-06-2024,66973.47,1637.35,294.72,INR,SETTLED,BATCH202406023,HDFC2324,,Settlement for TXN0000015
BNKTXN4323229,TXN0000016,UTR241182449353,MERCH0044,Kotak,17-09-2024,18-09-2024,97134.26,2390.88,430.36,INR,SETTLED,BATCH202409161,HDFC8580,,Settlement for TXN0000016
BNKTXN6998272,TXN0000017,UTR427868011280,MERCH0024,SBI,04-09-2024,05-09-2024,569.27,12.41,2.23,INR,SETTLED,BATCH202409033,HDFC3115,,Settlement for TXN0000017
BNKTXN3697976,TXN0000018,UTR692322602563,MERCH0018,Axis Bank,20-05-2024,21-05-2024,15131.71,332.19,59.79,INR,SETTLED,BATCH202405182,HDFC8237,,Settlement for TXN0000018
BNKTXN3980060,TXN0000020,UTR429401965569,MERCH0033,Kotak,22-09-2024,23-09-2024,139360.61,1528.0,275.04,INR,SETTLED,BATCH202409201,HDFC9244,,Settlement for TXN0000020
BNKTXN1621800,TXN0000022,UTR656482366299,MERCH0020,PNB,15-09-2024,16-09-2024,44454.47,628.85,113.19,INR,SETTLED,BATCH202409143,HDFC2798,,Settlement for TXN0000022
BNKTXN8030041,TXN0000023,UTR387214895134,MERCH0015,HDFC Bank,16-06-2024,17-06-2024,47591.38,777.26,139.91,INR,SETTLED,BATCH202406154,HDFC2329,Fee Rounding,Settlement for TXN0000023
BNKTXN2443157,TXN0000024,UTR763201632870,MERCH0036,Axis Bank,27-06-2024,28-06-2024,28617.31,588.25,105.88,INR,SETTLED,BATCH202406255,HDFC3341,,Settlement for TXN0000024
BNKTXN1095092,TXN0000025,UTR872774348734,MERCH0029,SBI,21-10-2024,22-10-2024,106062.49,1842.64,331.68,INR,SETTLED,BATCH202410203,HDFC7243,,Settlement for TXN0000025
BNKTXN9781229,TXN0000026,UTR665876036690,MERCH0049,Axis Bank,24-02-2024,25-02-2024,22677.87,285.28,51.35,INR,SETTLED,BATCH202402234,HDFC7640,,Settlement for TXN0000026
BNKTXN1929456,TXN0000027,UTR627298069901,MERCH0042,PNB,10-07-2024,11-07-2024,4338.97,63.3,11.39,INR,SETTLED,BATCH202407084,HDFC4464,,Settlement for TXN0000027
BNKTXN7779130,TXN0000028,UTR641708053100,MERCH0016,Kotak,25-03-2024,26-03-2024,130176.99,1775.03,319.51,INR,SETTLED,BATCH202403232,HDFC3070,,Settlement for TXN0000028
BNKTXN8988360,TXN0000032,UTR657262849877,MERCH0028,ICICI Bank,17-07-2024,18-07-2024,61976.05,1061.76,191.12,INR,SETTLED,BATCH202407151,HDFC1914,,Settlement for TXN0000032
BNKTXN2991703,TXN0000034,UTR436349578856,MERCH0048,ICICI Bank,27-09-2024,28-09-2024,66629.93,623.84,112.29,INR,SETTLED,BATCH202409253,HDFC3353,,Settlement for TXN0000034
BNKTXN3980397,TXN0000036,UTR824008427109,MERCH0019,Axis Bank,11-02-2024,12-02-2024,53414.69,749.43,134.9,INR,SETTLED,BATCH202402091,HDFC7715,,Settlement for TXN0000036
BNKTXN4482603,TXN0000037,UTR022941318699,MERCH0040,Axis Bank,06-07-2024,07-07-2024,72442.08,1345.32,242.16,INR,SETTLED,BATCH202407044,HDFC6228,,Settlement for TXN0000037
BNKTXN4924292,TXN0000038,UTR334123281206,MERCH0029,ICICI Bank,10-08-2024,11-08-2024,108343.83,2682.56,482.86,INR,SETTLED,BATCH202408083,HDFC5220,,Settlement for TXN0000038
BNKTXN7068362,TXN0000039,UTR936183242102,MERCH0020,ICICI Bank,02-10-2024,03-10-2024,34588.06,463.84,83.49,INR,SETTLED,BATCH202409304,HDFC4046,,Settlement for TXN0000039
BNKTXN9409291,TXN0000040,UTR906594013990,MERCH0049,Kotak,30-09-2024,01-10-2024,79723.58,1296.66,233.4,INR,SETTLED,BATCH202409284,HDFC5713,,Settlement for TXN0000040
BNKTXN6661219,TXN0000041,UTR175655125674,MERCH0043,HDFC Bank,19-04-2024,20-04-2024,93662.83,1606.4,289.15,INR,SETTLED,BATCH202404183,HDFC4544,Fee Rounding,Settlement for TXN0000041
BNKTXN6649794,TXN0000042,UTR876038597703,MERCH0018,ICICI Bank,28-10-2024,29-10-2024,145324.87,2893.61,520.85,INR,SETTLED,BATCH202410271,HDFC7543,,Settlement for TXN0000042
BNKTXN7223954,TXN0000043,UTR171274846773,MERCH0030,Axis Bank,03-10-2024,04-10-2024,81990.79,869.31,156.48,INR,SETTLED,BATCH202410022,HDFC9755,,Settlement for TXN0000043
BNKTXN1630697,TXN0000045,UTR675339636057,MERCH0046,Yes Bank,28-02-2024,29-02-2024,48841.21,1058.16,190.47,INR,SETTLED,BATCH202402274,HDFC7111,,Settlement for TXN0000045
BNKTXN7687060,TXN0000046,UTR718702621745,MERCH0040,PNB,21-02-2024,22-02-2024,127462.63,2998.93,539.81,INR,SETTLED,BATCH202402195,HDFC8274,,Settlement for TXN0000046
BNKTXN4792419,TXN0000049,UTR222196937923,MERCH0030,Axis Bank,26-05-2024,27-05-2024,60606.06,1231.1,221.6,INR,SETTLED,BATCH202405253,HDFC6089,,Settlement for TXN0000049
BNKTXN6266919,TXN0000050,UTR647436713695,MERCH0037,HDFC Bank,30-01-2024,31-01-2024,86461.75,1694.63,305.03,INR,SETTLED,BATCH202401291,HDFC4581,,Settlement for TXN0000050
BNKTXN5189616,TXN0000052,UTR095214562328,MERCH0024,ICICI Bank,02-09-2024,03-09-2024,5832.54,128.87,23.2,INR,SETTLED,BATCH202408313,HDFC7284,,Settlement for TXN0000052
BNKTXN2344309,TXN0000054,UTR965137098593,MERCH0042,Yes Bank,13-04-2024,14-04-2024,98946.29,1994.33,358.98,INR,SETTLED,BATCH202404124,HDFC8173,,Settlement for TXN0000054
