refund_id,original_txn_id,original_utr,refund_utr,merchant_id,customer_id,refund_initiation_date,refund_settlement_date,original_amount,refund_amount,refund_type,refund_status,refund_reason,initiated_by,gateway_refund_id,tat_days,sla_breached,remarks
REF8793359,TXN0000029,,UTR306318633362,MERCH0024,CUST31992,2024-09-18,2024-09-23,69781.85,69781.85,FULL,PROCESSED,Duplicate Payment,Customer,GWREF212332,14,N,
REF5034490,TXN0000030,,UTR722348273426,MERCH0025,CUST61990,2024-02-14,2024-02-20,86390.72,86390.72,FULL,PROCESSED,Chargeback Initiated,Customer,GWREF518795,14,N,
REF5373079,TXN0000053,,,MERCH0044,CUST98395,2024-11-09,,21156.51,21156.51,FULL,PENDING,Duplicate Payment,Bank,GWREF382953,3,Y,
REF2150464,TXN0000083,,UTR748514368679,MERCH0041,CUST17518,2024-01-21,2024-01-25,92246.98,92246.98,FULL,PROCESSED,Fraud Suspected,Bank,GWREF159895,4,N,
REF6418294,TXN0000091,,,MERCH0049,CUST58567,2024-10-11,,51838.32,51838.32,FULL,PENDING,Fraud Suspected,Bank,GWREF689086,11,Y,Chargeback case
REF6493885,TXN0000098,,UTR784864733283,MERCH0020,CUST47880,2024-08-27,2024-09-01,41887.01,41887.01,FULL,PROCESSED,Product Defective,System,GWREF110740,12,N,
REF4544262,TXN0000099,,UTR616343803797,MERCH0037,CUST98686,2024-05-20,2024-05-27,108263.57,65267.65,PARTIAL,PROCESSED,Item Not Delivered,System,GWREF127370,6,N,
REF7615500,TXN0000102,,UTR510262018045,MERCH0032,CUST34420,2024-11-22,2024-11-25,149580.66,149580.66,FULL,PROCESSED,Fraud Suspected,Customer,GWREF542287,9,N,
REF8191797,TXN0000128,,UTR068342299488,MERCH0022,CUST67700,2024-02-28,2024-03-06,49865.97,28307.39,PARTIAL,PROCESSED,Fraud Suspected,Bank,GWREF668736,12,Y,
REF3039233,TXN0000138,,UTR891904132177,MERCH0049,CUST67850,2024-11-01,2024-11-06,81329.40,81329.40,FULL,PROCESSED,Customer Request,Customer,GWREF809415,7,Y,Chargeback case
REF6838408,TXN0000151,,UTR702479851099,MERCH0028,CUST25202,2024-09-30,2024-10-05,35833.68,35833.68,FULL,PROCESSED,Fraud Suspected,System,GWREF415346,5,N,
REF6885256,TXN0000156,,,MERCH0010,CUST46677,2024-02-13,,63001.39,63001.39,FULL,INITIATED,Item Not Delivered,Customer,GWREF856742,10,Y,Chargeback case
REF3881710,TXN0000160,,UTR614183005069,MERCH0024,CUST99952,2024-01-27,2024-02-02,19650.75,10402.99,PARTIAL,PROCESSED,Customer Request,Bank,GWREF315550,4,N,Chargeback case
REF9610726,TXN0000210,,UTR581805689304,MERCH0042,CUST77181,2024-03-24,2024-03-29,51610.55,51610.55,FULL,PROCESSED,Duplicate Payment,Customer,GWREF519727,5,Y,
REF3399255,TXN0000215,,UTR454521401782,MERCH0009,CUST68487,2024-11-30,2024-12-06,102640.04,102640.04,FULL,PROCESSED,Duplicate Payment,Merchant,GWREF891057,6,N,Chargeback case
REF9905860,TXN0000231,,,MERCH0040,CUST10868,2024-10-31,,101388.03,101388.03,FULL,FAILED,Duplicate Payment,Bank,GWREF593607,13,N,
REF9588939,TXN0000251,,UTR441958352445,MERCH0035,CUST60506,2024-02-01,2024-02-05,14613.03,14613.03,FULL,PROCESSED,Item Not Delivered,Bank,GWREF468350,9,Y,
REF4547123,TXN0000256,,,MERCH0028,CUST64594,2024-02-05,,50191.73,50191.73,FULL,PENDING,Product Defective,Merchant,GWREF362949,8,N,
REF8065671,TXN0000262,,UTR756694695183,MERCH0043,CUST96520,2024-01-26,2024-02-01,10036.34,10036.34,FULL,PROCESSED,Product Defective,Customer,GWREF578823,14,N,
REF4899292,TXN0000296,,UTR153191243588,MERCH0032,CUST64125,2024-05-19,2024-05-23,89351.84,89351.84,FULL,PROCESSED,Chargeback Initiated,Bank,GWREF792052,12,N,
REF3989014,TXN0000298,,UTR355953952368,MERCH0035,CUST93548,2024-06-01,2024-06-04,102447.30,102447.30,FULL,PROCESSED,Item Not Delivered,Bank,GWREF768881,14,N,
REF6613953,TXN0000327,,UTR436428155957,MERCH0046,CUST84437,2024-01-10,2024-01-13,62206.38,62206.38,FULL,PROCESSED,Item Not Delivered,Bank,GWREF568378,9,N,
REF6436944,TXN0000356,,UTR424029932342,MERCH0006,CUST70610,2024-01-14,2024-01-17,97083.65,61081.87,PARTIAL,PROCESSED,Product Defective,Merchant,GWREF211951,12,Y,
REF1715452,TXN0000364,,,MERCH0009,CUST37704,2024-05-11,,136036.41,136036.41,FULL,FAILED,Item Not Delivered,Bank,GWREF328127,10,N,Chargeback case
REF9203958,TXN0000365,,UTR132711752313,MERCH0012,CUST41467,2024-10-18,2024-10-22,57239.57,57239.57,FULL,PROCESSED,Customer Request,Customer,GWREF691848,5,N,
