transaction_id,utr_number,merchant_id,customer_id,payment_method,payment_gateway,acquirer_bank,transaction_date,transaction_time,gross_amount,fee_amount,gst_on_fee,net_amount,currency_code,payment_status,vpa_id,bank_reference_no,error_code,device_type,ip_address,reversal_flag,batch_id,settlement_cycle,remarks
TXN0000001,,MERCH0007,CUST98696,UPI,Stripe,HDFC Bank,2024-09-05,07:53:23,36771.53,413.04,74.35,36358.49,INR,FAILED,urishilla614@okicici,BNKREF133326,ERR130,Mobile,193.206.165.21,N,BATCH202409052,T+1,
TXN0000002,UTR637940265423,MERCH0049,CUST54118,Net Banking,Razorpay,HDFC Bank,2024-07-15,06:15:09,107417.14,2172.1,390.98,105245.04,INR,SUCCESS,,BNKREF498382,,Mobile,171.192.185.199,N,BATCH202407153,T+2,
TXN0000003,UTR618495931034,MERCH0006,CUST40512,UPI,Razorpay,Axis Bank,2024-08-22,11:08:04,68940.76,758.16,136.47,68182.6,INR,SUCCESS,praneel294@okicici,BNKREF766563,,Desktop,60.104.144.169,N,BATCH202408222,T+2,
TXN0000004,UTR928327648350,MERCH0015,CUST14207,UPI,Cashfree,Axis Bank,2024-05-17,23:21:46,140501.36,2721.31,489.84,137780.05,INR,SUCCESS,harrison284@oksbi,BNKREF321231,,Tablet,66.61.82.220,N,BATCH202405173,T+1,
TXN0000005,,MERCH0009,CUST42325,Net Banking,Stripe,Kotak,2024-09-11,13:07:52,96445.64,1088.48,195.93,95357.16,INR,PENDING,,BNKREF375504,,Tablet,182.236.180.246,N,BATCH202409115,T+2,
TXN0000006,UTR101226916697,MERCH0034,CUST42953,UPI,Stripe,PNB,2024-08-14,14:55:15,149630.76,2566.53,461.98,147064.23,INR,SUCCESS,mohammed975@oksbi,BNKREF813328,,Tablet,157.110.48.6,N,BATCH202408141,T+2,
TXN0000007,UTR482814893252,MERCH0035,CUST79514,Net Banking,Razorpay,Kotak,2024-10-25,11:51:33,65243.05,1060.82,190.95,64182.23,INR,SUCCESS,,BNKREF439902,,Desktop,166.17.220.113,N,BATCH202410251,T+1,
TXN0000008,,MERCH0037,CUST20322,Debit Card,Razorpay,Yes Bank,2024-05-20,23:13:33,46161.74,458.24,82.48,45703.5,INR,FAILED,,BNKREF609597,ERR935,Mobile,99.186.101.148,N,BATCH202405205,T+1,
TXN0000009,,MERCH0039,CUST65461,Credit Card,PayU,Kotak,2024-02-19,20:41:42,24810.79,432.77,77.9,24378.02,INR,REFUNDED,,BNKREF891952,,Tablet,166.87.115.73,Y,BATCH202402192,T+2,
TXN0000010,UTR133150983930,MERCH0005,CUST92719,Wallet,Razorpay,SBI,2024-06-03,22:52:39,65743.11,1136.12,204.5,64606.99,INR,SUCCESS,,BNKREF170674,,Mobile,134.84.49.240,N,BATCH202406033,T+1,
TXN0000011,UTR997376311656,MERCH0027,CUST71213,UPI,Razorpay,Yes Bank,2024-07-18,16:16:56,32174.81,357.69,64.38,31817.12,INR,SUCCESS,pushti679@ybl,BNKREF203198,,Mobile,81.183.229.95,N,BATCH202407184,T+2,
TXN0000012,UTR624731781080,MERCH0006,CUST40982,Debit Card,PayU,Axis Bank,2024-11-06,22:03:46,28571.83,462.23,83.2,28109.6,INR,SUCCESS,,BNKREF609231,,Desktop,110.126.152.99,N,BATCH202411062,T+2,
TXN0000013,UTR746872343098,MERCH0004,CUST51104,UPI,Razorpay,HDFC Bank,2024-01-23,18:31:17,58593.74,1395.95,251.27,57197.79,INR,SUCCESS,joshua608@okicici,BNKREF627276,,Tablet,109.21.101.108,N,BATCH202401232,T+1,
TXN0000014,UTR361939909169,MERCH0037,CUST78522,UPI,Cashfree,ICICI Bank,2024-07-16,05:18:16,89275.51,1767.96,318.23,87507.55,INR,SUCCESS,om219@ybl,BNKREF850981,,Desktop,159.17.55.192,N,BATCH202407162,T+2,
TXN0000015,UTR107991183842,MERCH0023,CUST19016,UPI,PayU,ICICI Bank,2024-06-02,16:59:29,68610.82,1637.35,294.72,66973.47,INR,SUCCESS,bahadurjit301@okhdfcbank,BNKREF559469,,Tablet,79.53.121.34,N,BATCH202406023,T+1,
TXN0000016,UTR241182449353,MERCH0044,CUST93130,Credit Card,Cashfree,Kotak,2024-09-16,08:56:10,99525.14,2390.88,430.36,97134.26,INR,SUCCESS,,BNKREF612262,,Desktop,31.106.204.43,N,BATCH202409161,T+1,
TXN0000017,UTR427868011280,MERCH0024,CUST86350,UPI,Stripe,SBI,2024-09-03,07:57:34,581.68,12.41,2.23,569.27,INR,SUCCESS,wahab450@okhdfcbank,BNKREF143860,,Desktop,116.135.41.234,N,BATCH202409033,T+1,
TXN0000018,UTR692322602563,MERCH0018,CUST30866,UPI,Razorpay,Axis Bank,2024-05-18,23:01:25,15463.9,332.19,59.79,15131.71,INR,SUCCESS,ganga903@oksbi,BNKREF593554,,Mobile,8.18.22.64,N,BATCH202405182,T+2,
TXN0000019,,MERCH0013,CUST62227,UPI,Cashfree,ICICI Bank,2024-05-15,19:03:09,34177.94,320.54,57.7,33857.4,INR,FAILED,vansha895@oksbi,BNKREF910891,ERR385,Desktop,201.158.94.99,N,BATCH202405155,T+2,
TXN0000020,UTR429401965569,MERCH0033,CUST25157,Wallet,PayTM Gateway,Kotak,2024-09-20,21:34:04,140888.61,1528.0,275.04,139360.61,INR,SUCCESS,,BNKREF299312,,Desktop,160.30.193.120,N,BATCH202409201,T+2,
TXN0000021,,MERCH0048,CUST97900,Net Banking,PayU,ICICI Bank,2024-01-01,15:45:49,103044.23,2477.62,445.97,100566.61,INR,FAILED,,BNKREF552248,ERR171,Tablet,204.176.127.69,N,BATCH202401013,T+2,
TXN0000022,UTR656482366299,MERCH0020,CUST63225,Debit Card,Stripe,PNB,2024-09-14,15:13:09,45083.32,628.85,113.19,44454.47,INR,SUCCESS,,BNKREF100425,,Desktop,138.52.210.144,N,BATCH202409143,T+1,
TXN0000023,UTR387214895134,MERCH0015,CUST36100,Credit Card,PayU,HDFC Bank,2024-06-15,22:50:52,48371.27,777.26,139.91,47594.01,INR,SUCCESS,,BNKREF148458,,Mobile,193.23.143.169,N,BATCH202406154,T+1,
TXN0000024,UTR763201632870,MERCH0036,CUST42662,UPI,Razorpay,Axis Bank,2024-06-25,20:47:10,29205.56,588.25,105.88,28617.31,INR,SUCCESS,ekaraj146@ibl,BNKREF587213,,Tablet,96.202.1.165,N,BATCH202406255,T+2,
TXN0000025,UTR872774348734,MERCH0029,CUST20155,Debit Card,Cashfree,SBI,2024-10-20,07:26:25,107905.13,1842.64,331.68,106062.49,INR,SUCCESS,,BNKREF384913,,Desktop,191.170.133.174,N,BATCH202410203,T+1,
TXN0000026,UTR665876036690,MERCH0049,CUST85456,UPI,PayTM Gateway,Axis Bank,2024-02-23,17:44:23,22963.15,285.28,51.35,22677.87,INR,SUCCESS,odika16@okaxis,BNKREF413118,,Desktop,60.106.177.83,N,BATCH202402234,T+1,
TXN0000027,UTR627298069901,MERCH0042,CUST66179,UPI,PayU,PNB,2024-07-08,14:37:42,4402.27,63.3,11.39,4338.97,INR,SUCCESS,jonathan482@okhdfcbank,BNKREF152727,,Desktop,222.63.73.138,N,BATCH202407084,T+2,
TXN0000028,UTR641708053100,MERCH0016,CUST36130,Net Banking,Razorpay,Kotak,2024-03-23,04:49:00,131952.02,1775.03,319.51,130176.99,INR,SUCCESS,,BNKREF259784,,Mobile,14.154.219.139,N,BATCH202403232,T+2,
TXN0000029,,MERCH0024,CUST31992,UPI,Stripe,Kotak,2024-09-16,23:48:31,69781.85,914.14,164.55,68867.71,INR,REFUNDED,pooja996@ybl,BNKREF853252,,Mobile,76.248.240.87,Y,BATCH202409162,T+2,
TXN0000030,,MERCH0025,CUST61990,Net Banking,PayU,HDFC Bank,2024-02-11,23:33:12,86390.72,2032.64,365.88,84358.08,INR,REFUNDED,,BNKREF720859,,Tablet,134.151.24.240,Y,BATCH202402112,T+1,
TXN0000031,,MERCH0037,CUST15383,Credit Card,Cashfree,Kotak,2024-09-27,18:18:35,90081.72,985.21,177.34,89096.51,INR,PENDING,,BNKREF549186,,Tablet,192.1.156.193,N,BATCH202409273,T+1,
